Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,OFFeFG,OFFTOV,OFFORB,OFFFT/FGA,DFFeFG,DFFTOV,DFFDRB,DFFFT/FGA,Stats
26.7,52,30,48,34,2.88,-0.7,2.18,108.5,105.7,102.9,0.367,0.012,0.545,0.492,15.4,37.5,0.282,0.475,14.1,68,0.233,Promotion
25.1,50,32,45,37,1.62,0.38,2,106,104.4,101,0.329,0.033,0.533,0.487,15,31.6,0.246,0.504,17.2,65.8,0.22,Promotion
26,44,38,45,37,1.4,0.32,1.72,106.4,105,100.9,0.351,0.023,0.528,0.484,15.1,35.5,0.251,0.492,17,64.5,0.248,Promotion
25.7,45,37,43,39,0.89,-0.37,0.52,106.5,105.7,103,0.291,0.02,0.534,0.498,15.2,33.9,0.209,0.49,15.8,65.7,0.246,Promotion
28.6,39,43,41,41,0.01,0.41,0.42,102.7,102.7,102.4,0.276,0.032,0.514,0.476,14.4,30.5,0.199,0.472,14.3,67.8,0.212,phaseout
26.8,40,42,42,40,0.33,-0.53,-0.2,107,106.7,100.5,0.303,0.016,0.534,0.489,14.9,33.9,0.233,0.496,14.7,66.6,0.214,Promotion
26.2,40,42,41,41,0.01,-0.51,-0.49,104.7,104.7,101.3,0.308,0.023,0.54,0.503,15.1,29.2,0.22,0.483,15.6,68.3,0.265,Promotion
26.8,37,45,40,42,-0.48,-0.47,-0.95,109.4,109.8,109.8,0.383,0.018,0.537,0.477,13.4,33.1,0.3,0.509,14.6,65.4,0.232,phaseout
24.4,39,43,38,44,-1.18,-0.23,-1.41,108.5,109.7,101,0.345,0.029,0.537,0.493,15.6,38.8,0.251,0.507,14.4,67.5,0.25,phaseout
27.6,36,46,37,45,-1.59,-0.2,-1.78,106,107.6,100.2,0.308,0.056,0.528,0.486,14.5,33,0.227,0.507,16.2,66.3,0.262,phaseout
26.8,34,48,37,45,-1.65,-0.2,-1.84,103.2,104.8,100.3,0.333,0.016,0.521,0.47,15.7,33.1,0.254,0.468,13.8,66.1,0.232,phaseout
26.8,31,51,33,49,-3.1,0.73,-2.37,104.3,107.3,99.4,0.377,0.012,0.537,0.48,16.7,34.1,0.293,0.498,17.3,64.8,0.295,phaseout
25.7,28,54,29,53,-4.85,0.7,-4.15,104.3,109.1,100.8,0.251,0.033,0.513,0.472,14.2,33.5,0.195,0.507,15.2,66,0.251,phaseout
